transect,up_down,date,G/L,orthophosphate,G/L,total_ammonia,G/L,nitrite,nitrate,sodium,potassium,magnesium,calcium,chloride,G/L,bromide,sulfate,boron,aluminum,silicon,vanadium,chromium,manganese,iron,cobalt,nickel,copper,zinc,arsenic,selenium,strontium,molybdenum,silver,cadmium,tin,G/L,antimony,barium,thallium,lead,bismuth,uranium
ALEX_1D,down,43594.0000,<,0.0337,,0.6870,<,0.1130,2.0047,16.6161,9.2332,15.8815,43.0140,21.6220,<,0.2240,61.3016,,,,,,,,,,,,,,,,,,,,,,,,,
ALEX_1U,up,43594.0000,<,0.0337,<,0.4932,<,0.1130,2.0047,16.7031,8.9774,15.3466,25.2745,22.6375,<,0.2240,70.8034,,,,,,,,,,,,,,,,,,,,,,,,,
ALEX_5D,down,43594.0000,<,0.0337,,0.6752,<,0.1130,2.0595,167.4656,9.5913,17.1570,78.5429,21.7377,<,0.2240,63.3075,,,,,,,,,,,,,,,,,,,,,,,,,
BEARHILL_1D,down,43594.0000,<,0.0337,,2.3369,<,0.1130,5.4980,54.8069,22.2518,72.0428,160.5289,56.2821,<,0.2240,126.1310,,,,,,,,,,,,,,,,,,,,,,,,,
BEARHILL_1U,up,43594.0000,,0.0642,,2.2019,<,0.1130,5.3351,55.0244,21.9449,72.6188,159.8303,55.8561,<,0.2240,126.7295,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE_LICK_1D,ref,43591.0000,,0.2085,<,0.4932,<,0.1130,12.3557,61.9840,36.6259,77.7618,160.9531,44.2228,<,0.2240,93.5253,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGHILL_1D,down,43594.0000,<,0.0337,,0.7457,<,0.1130,1.4160,21.7923,7.8521,12.5489,40.8184,25.4245,<,0.2240,77.0637,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGHILL_5D,down,43594.0000,<,0.0337,,0.8162,<,0.1130,1.9725,28.6649,8.5426,14.1123,58.1088,34.1157,<,0.2240,74.9901,,,,,,,,,,,,,,,,,,,,,,,,,
ELKLICK_1,ref,43591.0000,,0.1063,<,0.4932,<,0.1130,10.9574,42.1056,24.1189,60.7694,69.4112,17.5797,<,0.2240,81.8718,0.6419,6.3992,115.9338,0.0026,0.0051,0.2102,3.1218,0.0024,0.0086,0.0052,0.0669,0.0020,0.0005,0.1368,0.0003,0.0007,0.0001,0.0001,<,0.0003,0.1861,0.0002,0.0010,0.0035,0.0001
KOCH_1D,down,43594.0000,<,0.0337,,3.7402,<,0.1130,3.8320,29.8393,33.2242,55.5441,167.7894,30.6065,<,0.2240,137.9083,0.6630,55.7938,104.8602,0.0356,0.0264,2.8552,30.8564,0.0402,0.0639,0.0284,0.2380,0.0063,0.0019,0.1989,0.0016,0.0008,0.0007,0.0004,<,0.0003,0.2331,0.0003,0.0066,0.0037,0.0003
KOCH_1U,up,43594.0000,<,0.0337,,2.3545,<,0.1130,3.0417,25.1416,23.5306,51.2652,128.5679,24.4711,<,0.2240,129.9742,0.6235,44.0529,80.9329,0.0235,0.0200,3.0850,27.3935,0.0446,0.0573,0.0229,0.2272,0.0053,0.0018,0.1574,0.0011,0.0003,0.0007,0.0003,<,0.0003,0.2048,0.0003,0.0061,0.0033,0.0002
KOCH_5D,down,43594.0000,,0.0358,,4.0867,,0.1130,4.9013,35.9290,37.1119,62.2917,212.7994,38.0141,<,0.2240,139.9101,,,,,,,,,,,,,,,,,,,,,,,,,
MILL_1,ref,43591.0000,<,0.0337,<,0.4932,<,0.1130,32.3108,30.8833,22.7889,66.3649,80.0898,33.7659,<,0.2240,70.9772,,,,,,,,,,,,,,,,,,,,,,,,,
POPLICKTRIB_1,ref,43591.0000,,0.0769,<,0.4932,<,0.1130,22.1421,123.0981,19.2081,69.0393,191.5170,112.7278,<,0.2240,83.5384,,,,,,,,,,,,,,,,,,,,,,,,,
WSHALEN_1D,down,43594.0000,<,0.0337,,0.5637,<,0.1130,0.4290,11.8313,10.3842,15.1409,53.6677,14.2031,<,0.2240,45.2064,,,,,,,,,,,,,,,,,,,,,,,,,
