up_down,EC,,,up_down,,av_EC,median_EC,sd_EC
DOWN,74.1,,,DOWN,0.111111111,79.03157895,58.4,35.16216484
DOWN,22.4,,,REF,1.749305556,48.31578947,43.9,14.30296252
DOWN,85.5,,,UP,60:74,62.00769231,41.7,39.66737664
DOWN,49.1,,,,,,,
DOWN,51.3,,,,,,,
DOWN,53,,,,,,,
DOWN,52.2,,,,,,,
DOWN,54.2,,,,,,,
DOWN,80.2,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,55.8,,,,,,,
DOWN,56.8,,,,,,,
DOWN,57,,,,,,,
DOWN,58.4,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,144.6,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,NA,,,,,,,
DOWN,122,,,,,,,
DOWN,118.8,,,,,,,
DOWN,125.8,,,,,,,
DOWN,115.1,,,,,,,
DOWN,125.3,,,,,,,
REF,82.2,,,,,,,
REF,76.4,,,,,,,
REF,45.3,,,,,,,
REF,43.9,,,,,,,
REF,78.9,,,,,,,
REF,46.8,,,,,,,
REF,47.1,,,,,,,
REF,47,,,,,,,
REF,45.3,,,,,,,
REF,45.1,,,,,,,
REF,37.3,,,,,,,
REF,32.3,,,,,,,
REF,39.2,,,,,,,
REF,35.9,,,,,,,
REF,42.4,,,,,,,
REF,41.8,,,,,,,
REF,43.7,,,,,,,
REF,43.9,,,,,,,
REF,43.5,,,,,,,
UP,30.1,,,,,,,
UP,30.7,,,,,,,
UP,30.7,,,,,,,
UP,29.3,,,,,,,
UP,29.7,,,,,,,
UP,30.9,,,,,,,
UP,83.2,,,,,,,
UP,41.7,,,,,,,
UP,45.1,,,,,,,
UP,93.5,,,,,,,
UP,103,,,,,,,
UP,NA,,,,,,,
UP,NA,,,,,,,
UP,129.2,,,,,,,
UP,129,,,,,,,
