Date,Stream,Type,Transect,Up_down,Dist,Visit,DFUSL,DFUSA,DOCHL,DOCHA,DMONL,DMONA,EBISL,EBISA,GPORL,GPORA,PRUBL,PRUBA,Total,Observers,Time_min,Air,pH,Water,DO,EC,TDS
5/29/18,POPLICKTRIB,ref,1,NA,NA,1,0,0,0,0,1,4,0,0,7,1,0,0,13,"JB, DJH, NH",45,21.5,NA,13,NA,82.2,NA
5/30/18,ALEX,res,1U,UP,-25,1,1,0,0,1,0,0,0,0,0,0,0,0,2,"JB, DJH",30,19.8,4.5,13.4,NA,30.1,15.4
5/30/18,ALEX,res,2U,UP,-75,1,1,0,0,1,0,0,0,0,0,0,0,0,2,"JB, DJH",30,20.6,4.4,13.4,NA,30.7,15.1
6/7/18,ALEX,res,1U,UP,-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, DC",0,17.8,4.6,12.1,NA,30.7,15.3
6/7/18,ALEX,res,2U,UP,-75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, DC",30,17.6,4.5,12.4,NA,29.3,14.7
6/7/18,POPLICKTRIB,ref,1,NA,NA,2,0,0,0,2,0,2,0,0,1,0,0,0,5,"JB, DC",0,14.2,7.8,10.9,NA,76.4,35.3
6/8/18,ELKLICK,ref,1,NA,NA,1,0,0,0,1,0,1,1,0,2,0,0,0,5,JB,30,21,7.1,13.1,NA,45.3,22.5
6/8/18,ELKLICK,ref,2,NA,NA,1,0,0,0,1,0,2,2,0,0,0,0,0,5,JB,30,19.9,7,13.3,NA,43.9,22.1
6/9/18,ALEX,res,1U,UP,-25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,30,23.8,4.5,13.6,NA,29.7,14.9
6/9/18,ALEX,res,2U,UP,-75,3,0,0,0,1,0,0,0,0,0,0,0,0,1,JB,45,23.1,4.6,13.2,NA,30.9,15.5
6/9/18,POPLICKTRIB,ref,1,NA,NA,3,0,0,0,0,0,2,0,0,3,0,0,0,5,JB,45,20,7.4,12.4,NA,78.9,39.4
6/19/18,ELKLICK,ref,1,NA,NA,2,0,2,0,0,0,7,1,0,1,0,0,0,10,JB,30,22.4,7,16.4,NA,46.8,23.4
6/19/18,ELKLICK,ref,2,NA,NA,2,0,0,0,1,0,5,2,0,0,0,0,0,8,JB,30,21.6,7.1,16.1,NA,47.1,23.7
6/20/18,ELKLICK,ref,1,NA,NA,3,0,0,0,0,0,7,1,0,1,0,0,0,9,JB,30,26.2,7.7,17.1,NA,47,23.5
6/20/18,ELKLICK,ref,2,NA,NA,3,0,0,0,0,0,7,1,0,2,0,0,0,10,JB,30,24.4,7.4,16.8,NA,45.3,22.8
6/21/18,ELKLICK,ref,3,NA,NA,1,0,0,0,0,0,5,8,0,5,0,0,0,18,"JB, DC",45,20,7.5,15,NA,45.1,22.4
6/21/18,MILL,ref,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"JB, DC",15,21.9,6.2,15.8,NA,37.3,18.4
6/25/18,BLUELICK,ref,1D,DOWN,0,1,0,1,0,0,0,2,1,0,1,0,0,0,5,"JB, NH",45,19.5,7.8,15.1,NA,74.1,42.3
6/25/18,WSHALEN,res,1D,DOWN,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"JB, NH",30,19,6.1,14.2,NA,22.4,11.3
6/26/18,BLUELICK,ref,1D,DOWN,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,JB,30,18,8,14.5,NA,85.5,42.7
6/26/18,BLUELICK,ref,1U,UP,-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JB,30,16.2,7.9,14.3,NA,83.2,41.4
6/26/18,ELKLICK,ref,3,NA,NA,2,0,0,0,0,0,4,3,0,1,0,0,0,8,JB,45,17.6,7.3,13.4,NA,32.3,16.1
6/26/18,MILL,ref,1,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,19.3,6.8,14.3,NA,39.2,19.6
6/28/18,KOCH,res,1D,DOWN,0,1,0,2,0,0,0,0,0,1,0,0,0,0,3,"JB, AG, DC",30,16,7.5,15.7,NA,49.1,24.4
6/28/18,KOCH,res,1U,UP,-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, AG, DC",30,15.5,7.3,15.8,NA,41.7,21.1
6/28/18,KOCH,res,2D,DOWN,50,1,0,1,0,0,0,0,3,0,0,0,0,0,4,"JB, AG, DC",15,15,7.8,15.6,NA,51.3,25.7
6/28/18,KOCH,res,2U,UP,-75,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"JB, AG, DC",30,15.8,6.9,15.5,NA,45.1,22.4
6/28/18,KOCH,res,3D,DOWN,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, AG, DC",15,15.4,7.8,15.5,NA,53,26.4
6/28/18,KOCH,res,4D,DOWN,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, AG, DC",15,15.6,7.9,15.3,NA,52.2,26.6
6/28/18,KOCH,res,5D,DOWN,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, AG, DC",15,15.5,8.1,15.1,NA,54.2,27.1
6/29/18,BLUELICK,ref,1U,UP,-25,2,0,0,0,0,0,5,0,0,0,0,0,0,5,JB,30,23.3,7.9,16.7,NA,93.5,46.6
6/29/18,MILL,ref,1,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,24.4,6.9,15.4,9,35.9,17.6
7/3/18,BLUELICK,ref,1D,DOWN,0,3,0,1,0,2,0,1,0,0,1,0,0,0,5,JB,30,25.4,8.3,18,NA,80.2,40
7/3/18,BLUELICK,ref,1U,UP,-25,3,0,1,0,1,0,6,0,0,1,0,0,0,9,JB,15,23.9,8.2,18.5,NA,103,50.7
7/5/18,KOCH,res,3D,DOWN,100,2,0,0,0,0,0,0,1,0,0,0,0,0,1,JB,15,NA,NA,NA,NA,NA,NA
7/5/18,KOCH,res,4D,DOWN,150,2,0,0,0,0,0,0,2,0,0,0,0,0,2,JB,15,NA,NA,NA,NA,NA,NA
7/5/18,KOCH,res,5D,DOWN,200,2,0,0,0,0,0,0,2,0,0,0,0,0,2,JB,15,NA,NA,NA,NA,NA,NA
7/9/18,KOCH,res,2D,DOWN,50,2,0,0,0,0,0,0,10,0,0,0,0,0,10,"JB, NH",30,24.7,7.2,17.4,NA,55.8,27.9
7/9/18,KOCH,res,3D,DOWN,100,3,0,0,0,0,0,0,12,0,0,0,0,0,12,"JB, NH",30,24.7,7.4,17.4,NA,56.8,28.3
7/9/18,KOCH,res,4D,DOWN,150,3,0,0,0,0,0,0,3,0,0,0,0,0,3,"JB, NH",30,24.7,7.4,17.4,NA,57,29.4
7/9/18,KOCH,res,5D,DOWN,200,3,0,0,0,0,0,0,3,0,0,0,0,0,3,"JB, NH",15,24.7,7.7,17.2,NA,58.4,29.2
7/10/18,KOCH,res,1D,DOWN,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,"JB, MM",30,21.3,6.9,17.4,10,NA,NA
7/10/18,KOCH,res,1U,UP,-25,2,0,0,0,0,0,0,1,0,0,0,0,0,1,"JB, MM",30,24.3,6.6,18.1,NA,NA,NA
7/10/18,KOCH,res,2D,DOWN,50,3,0,0,0,0,0,0,7,0,0,0,0,0,7,"JB, MM",30,25,7.1,17.6,NA,NA,NA
7/10/18,KOCH,res,2U,UP,-75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, MM",30,24.3,6.1,18.4,9,NA,NA
7/10/18,KOCH,res,3D,DOWN,100,4,0,0,0,0,0,0,5,0,0,0,0,0,5,"JB, MM",15,25,7.1,17.9,NA,NA,NA
7/10/18,KOCH,res,4D,DOWN,150,4,0,0,0,0,0,0,6,0,0,0,0,0,6,"JB, MM",30,25,7.5,17.5,NA,NA,NA
7/10/18,KOCH,res,5D,DOWN,200,4,0,0,0,0,0,0,1,0,0,0,0,0,1,"JB, MM",15,25,NA,16.8,9,144.6,NA
7/12/18,ALEX,res,1D,DOWN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,22,6.1,15,NA,NA,NA
7/12/18,ALEX,res,2D,DOWN,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,21.8,6.8,15.2,NA,NA,NA
7/12/18,ALEX,res,3D,DOWN,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,30,25.3,7.1,14.9,NA,NA,NA
7/12/18,ALEX,res,4D,DOWN,150,1,0,0,0,1,0,0,0,0,0,0,0,0,0,JB,30,22.6,7.1,15,NA,NA,NA
7/12/18,ALEX,res,5D,DOWN,200,1,0,1,0,0,0,0,0,0,0,0,0,0,1,JB,30,22.1,7.2,15.3,NA,NA,NA
7/16/18,DUNGHILL,res,3D,DOWN,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, NH",30,24.5,NA,15.5,NA,NA,NA
7/16/18,DUNGHILL,res,4D,DOWN,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, NH",30,26.6,NA,15.7,NA,NA,NA
7/16/18,DUNGHILL,res,5D,DOWN,200,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"JB, NH",30,24.3,6,15.8,NA,NA,NA
7/18/18,DUNGHILL,res,1D,DOWN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, MM",30,20.6,5.7,15.2,9,NA,NA
7/18/18,DUNGHILL,res,2D,DOWN,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, MM",30,19.4,6.3,15.8,NA,NA,NA
7/18/18,DUNGHILL,res,3D,DOWN,100,2,0,0,0,0,0,0,1,0,0,0,0,0,1,"JB, MM",30,17.9,6.3,15.7,NA,NA,NA
7/18/18,DUNGHILL,res,4D,DOWN,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, MM",30,20.3,6.2,15.9,NA,NA,NA
7/18/18,DUNGHILL,res,5D,DOWN,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"JB, MM",30,21.8,6.2,14.8,9,NA,NA
8/6/18,ELKLICK,ref,4,NA,NA,1,0,0,0,0,0,11,0,0,2,0,0,0,13,"JB, NH",45,23.3,6.5,17.1,NA,42.4,21.1
8/6/18,ELKLICK,ref,5,NA,NA,1,0,0,0,0,0,8,4,0,0,0,0,0,12,"JB, NH",30,23.3,6.7,17.3,NA,41.8,20.9
8/7/18,ELKLICK,ref,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JB, NH",30,22.4,7.3,17.6,NA,43.7,21.7
8/8/18,ELKLICK,ref,4,NA,NA,3,0,0,0,0,0,10,0,0,0,0,0,0,10,"JB, AC",30,20.1,7.4,16.7,10,43.9,20.7
8/8/18,ELKLICK,ref,5,NA,NA,2,0,1,0,0,0,8,3,0,0,0,0,0,12,"JB, AC",30,20.5,7,16.9,9,43.5,21.7
8/10/18,BEARHILL,res,1D,DOWN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,23.1,7.8,20.6,NA,122,60.8
8/10/18,BEARHILL,res,1U,UP,-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,22.9,7.7,21.1,NA,129.2,64.7
8/10/18,BEARHILL,res,2D,DOWN,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,24.8,7.7,20.5,NA,118.8,59.6
8/10/18,BEARHILL,res,2U,UP,-75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,22.7,7.7,21.2,NA,129,64.5
8/10/18,BEARHILL,res,3D,DOWN,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,JB,15,23.8,7.7,20.1,NA,125.8,62.8
8/10/18,BEARHILL,res,4D,DOWN,150,1,0,1,0,0,0,0,0,0,0,0,0,0,1,JB,30,23.3,7.7,20.1,NA,115.1,57.5
8/10/18,BEARHILL,res,5D,DOWN,200,1,0,0,0,0,0,0,2,0,0,1,0,0,3,JB,30,NA,7.3,19.4,NA,125.3,62.6
